着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
11,1,2,マリオ,牡5,54,石橋脩,01:37.3,アタマ,5,10.9,37,5月6日,栗東安達,498(-6)
12,2,3,バンブトンハート,牝4,52,田中勝,01:37.3,クビ,4,7.7,36.1,16-16,美浦粕谷,506(0)
13,2,4,エネスク,牡7,54,内田博,01:37.4,3月4日,12,67.6,36.8,9月9日,栗東山内,522(+2)
14,4,8,デンバーテソーロ,牝4,53,木幡巧,01:38.0,3.1/2,13,81.2,37.8,3月4日,美浦栗田,464(+8)
15,7,13,セイウンクールガイ,牡5,54,武藤,01:38.1,1月2日,14,90.8,38.2,3月2日,美浦奥平,458(+6)
16,5,9,メガオパールカフェ,牡9,52,吉田豊,01:38.9,5,16,254.8,38.1,12月12日,美浦和田勇,548(+6)
1,1,1,プリモシーン,牝5,56,Ｍデム,01:33.0,,4,7.8,33.6,6月6日,美浦木村,504(+8)
2,6,12,シャドウディーヴァ,牝4,54,岩田康,01:33.1,1月2日,6,14.2,33.3,12月11日,美浦斎藤誠,470(-4)
3,7,13,クリノガウディー,牡4,56,横山典,01:33.1,ハナ,5,8.7,33.9,4月4日,栗東藤沢則,496(+8)
4,3,5,サトノアーサー,牡6,56,田辺,01:33.2,1月2日,3,7.7,34,4月4日,栗東池江,494(+10)
5,2,4,クルーガー,牡8,57,フォー,01:33.2,ハナ,12,84.1,34.3,2月2日,栗東高野,528(0)
6,1,2,ヴァンドギャルド,牡4,56,福永,01:33.2,クビ,2,3.8,33.6,8月8日,栗東藤原英,476(0)
7,4,8,スウィングビート,牡5,56,大野,01:33.4,1.1/2,14,177.1,33.8,8月8日,美浦加藤征,490(-4)
8,3,6,レイエンダ,牡5,57,丸山,01:33.5,1月2日,7,17.4,34.6,3月2日,美浦藤沢和,496(+12)
9,5,9,レッドヴェイロン,牡5,56,ルメー,01:33.5,ハナ,1,2.9,33.5,11月12日,栗東石坂正,494(0)
10,5,10,ロワアブソリュー,牡7,56,吉田豊,01:33.5,アタマ,15,402.7,33.3,14-13,栗東須貝,518(+6)
11,8,15,ケイアイノーテック,牡5,58,津村,01:33.6,クビ,8,20.9,33.2,16-15,栗東平田,474(0)
12,4,7,ケイデンスコール,牡4,56,石橋脩,01:33.6,ハナ,9,26.4,34.2,7月6日,栗東安田隆,468(-6)
13,8,16,ドーヴァー,牡7,57,北村宏,01:34.0,2.1/2,10,58.4,33.6,14-15,美浦伊藤圭,504(0)
14,7,14,ゴールドサーベラス,牡8,56,内田博,01:34.2,1,16,503.1,34,13-13,美浦清水英,456(+10)
15,6,11,キャンベルジュニア,牡8,56,ミナリ,01:34.4,1.1/2,13,89.6,34.7,8月8日,美浦堀,552(+8)
16,2,3,モルフェオルフェ,牝5,54,江田照,01:35.5,7,11,59.4,37.4,1月1日,美浦大江原,454(+8)
1,4,4,ブルスクーロ,牡4,57,フォー,01:21.5,,3,5.3,34.2,1月1日,栗東池添学,518(+8)
2,7,11,ココフィーユ,牝4,55,岩田康,01:21.5,アタマ,6,14.7,33.7,3月3日,美浦斎藤誠,438(+4)
3,4,5,スイーズドリームス,牡6,57,田辺,01:21.7,1,4,6.4,33.4,8月6日,栗東須貝,504(-6)
4,6,9,フォッサマグナ,牡4,57,ルメー,01:21.8,1月2日,1,2.4,34.2,2月2日,美浦藤沢和,474(-2)
5,8,13,カルリーノ,牡4,57,石橋脩,01:22.0,1.1/4,2,3.6,33.4,10月10日,美浦高橋裕,510(-6)
6,5,6,ヴォイスオブジョイ,牝4,55,津村,01:22.1,3月4日,5,13,33.5,10月10日,美浦水野,462(+4)
7,1,1,ドウディ,牡6,57,柴田善,01:22.5,2.1/2,8,61.1,34.3,8月6日,美浦小野,490(-4)
